year,local police department,sheriffs office,other,total_involved,sheriff_involved,police_involved,others_involved,sheriff_incidents_per_arrest,police_incidents_per_arrest,other_incidents_per_arrest
2022,8259304.0,1549006.0,54961.0,1202,423,798,61,27.30783483085282,9.661831069542906,110.98779134295228
2021,5596708.0,1160712.0,7950.0,1148,357,803,63,30.756983644521636,14.347720124044349,792.4528301886792
2020,7793940.0,1577127.0,60384.0,1160,379,758,82,24.03103871787117,9.725504686974752,135.7975622681505
2019,8372321.0,1606112.0,70784.0,1098,325,744,70,20.235201530154807,8.88642468438561,98.89240506329115
2018,8624655.0,1650045.0,71993.0,1139,329,786,67,19.938850152571597,9.113408014581452,93.06460350311836
2017,9258754.0,1859788.0,78069.0,1089,332,757,42,17.851497052352205,8.17604615048634,53.79856280982208
2016,9397007.0,1919277.0,80141.0,1065,303,728,58,15.787194865566565,7.747147575818556,72.37244356821103
2015,9382508.0,1926144.0,81807.0,1100,293,794,48,15.211739101541731,8.462556067098477,58.67468554035718
2014,9486855.0,1966609.0,82526.0,1039,280,735,49,14.23770561407987,7.747562284866797,59.375227201124495
2013,9903557.0,2058611.0,87155.0,1077,276,773,48,13.407098281316868,7.805276427449249,55.07429292639551
